filename gold_CV_cum_dur gold_CV_mean gold_CV_count gold_short_CV_count gold_CNV_cum_dur gold_CNV_mean gold_CNV_count gold_short_CNV_count gold_CH_cum_dur gold_CH_mean gold_CH_count gold_CTC_count gold_CTC_count_all lena_CH_count lena_CV_count lena_CNV_count lena_short_CV_count lena_short_CNV_count lena_CH_mean lena_CV_mean lena_CNV_mean lena_CH_cum_dur lena_CV_cum_dur lena_CNV_cum_dur lena_CTC_count child_id
BER_7758_032520_032640 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_7758
BER_7758_034260_034380 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_7758
BER_7758_038460_038580 19.91 0.711 28 14 3.21 0.802 4 0 23.12 0.723 32 15 18 17 13 5 9 1 1.002 0.603 0.990 17.03 7.84 4.95 2 BER_7758
C01_20170706_002040_002100 7.25 0.659 11 6 4.11 0.587 7 5 11.36 0.631 18 4 6 8 1 7 0 1 0.873 0.690 0.830 6.98 0.69 5.81 0 C01_20170706
C01_20170706_005640_005700 2.13 0.532 4 3 0.00 0.000 0 0 2.13 0.532 4 1 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_009240_009300 0.00 0.000 0 0 0.00 0.000 0 0 1.05 0.525 2 0 0 8 2 7 2 0 1.366 0.145 1.131 10.93 0.29 7.92 1 C01_20170706
C01_20170706_012840_012900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_016440_016500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_020040_020100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_023640_023700 1.23 0.615 2 1 1.38 0.690 2 0 3.61 0.602 6 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_027240_027300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_034440_034500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 1 0 1 0 0 0.600 0.000 0.410 0.60 0.00 0.41 0 C01_20170706
C01_20170706_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170706_052440_052500 5.88 0.653 9 5 3.31 0.552 6 5 9.69 0.606 16 2 3 4 1 3 1 0 0.808 0.600 0.877 3.23 0.60 2.63 1 C01_20170706
C01_20170706_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170706
C01_20170718_002040_002100 1.18 0.590 2 1 0.00 0.000 0 0 5.82 0.529 11 3 6 4 4 0 1 0 0.870 0.790 0.000 3.48 3.16 0.00 2 C01_20170718
C01_20170718_005640_005700 4.34 0.620 7 3 0.00 0.000 0 0 4.81 0.601 8 0 0 2 1 1 0 0 0.895 0.770 1.020 1.79 0.77 1.02 0 C01_20170718
C01_20170718_009240_009300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 2 0 1 0 1 0.640 0.000 0.100 1.28 0.00 0.10 0 C01_20170718
C01_20170718_012840_012900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 1 0 1 0 0 0.610 0.000 0.520 0.61 0.00 0.52 0 C01_20170718
C01_20170718_016440_016500 1.27 0.635 2 1 0.00 0.000 0 0 1.27 0.635 2 3 3 1 0 1 0 0 0.370 0.000 0.480 0.37 0.00 0.48 0 C01_20170718
C01_20170718_020040_020100 9.47 0.676 14 6 1.72 0.860 2 0 13.19 0.659 20 0 0 3 3 1 3 0 1.070 0.530 0.190 3.21 1.59 0.19 0 C01_20170718
C01_20170718_023640_023700 13.75 0.598 23 15 0.00 0.000 0 0 16.32 0.583 28 1 1 4 4 1 3 0 0.860 0.473 0.650 3.44 1.89 0.65 0 C01_20170718
C01_20170718_027240_027300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 1 0 2 0 1 0.900 0.000 0.240 0.90 0.00 0.48 0 C01_20170718
C01_20170718_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170718
C01_20170718_034440_034500 6.54 0.595 11 7 3.05 0.610 5 3 9.59 0.599 16 3 6 7 8 1 7 0 0.853 0.522 1.060 5.97 4.18 1.06 2 C01_20170718
C01_20170718_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 5 1 6 0 2 0.834 0.900 0.503 4.17 0.90 3.02 1 C01_20170718
C01_20170718_041640_041700 2.27 0.568 4 3 0.00 0.000 0 0 2.27 0.568 4 0 0 2 1 1 0 0 0.805 0.750 0.610 1.61 0.75 0.61 0 C01_20170718
C01_20170718_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170718
C01_20170718_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170718
C01_20170718_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170718
C01_20170718_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C01_20170718
C04_20170707_002040_002100 21.11 0.586 36 26 3.05 0.610 5 4 25.45 0.592 43 0 0 14 19 1 12 0 1.356 0.659 1.410 18.98 12.52 1.41 1 C04_20170707
C04_20170707_005640_005700 3.66 0.732 5 1 0.00 0.000 0 0 4.22 0.703 6 0 0 2 2 0 1 0 0.600 0.565 0.000 1.20 1.13 0.00 0 C04_20170707
C04_20170707_009240_009300 4.26 0.609 7 4 3.25 0.542 6 5 7.51 0.578 13 1 2 3 2 1 2 0 1.170 0.500 1.940 3.51 1.00 1.94 1 C04_20170707
C04_20170707_012840_012900 14.53 0.581 25 17 0.00 0.000 0 0 16.71 0.576 29 0 0 7 7 0 1 0 0.743 0.726 0.000 5.20 5.08 0.00 2 C04_20170707
C04_20170707_016440_016500 3.62 0.603 6 4 0.00 0.000 0 0 3.62 0.603 6 4 4 10 10 0 2 0 1.252 1.150 0.000 12.52 11.50 0.00 5 C04_20170707
C04_20170707_020040_020100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_023640_023700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_027240_027300 16.29 0.603 27 18 0.00 0.000 0 0 16.29 0.603 27 1 1 16 17 0 8 0 0.967 0.705 0.000 15.47 11.98 0.00 2 C04_20170707
C04_20170707_030840_030900 4.83 0.690 7 3 0.00 0.000 0 0 4.83 0.690 7 3 3 5 4 1 3 0 0.778 0.547 1.170 3.89 2.19 1.17 1 C04_20170707
C04_20170707_034440_034500 9.13 0.609 15 10 0.00 0.000 0 0 10.23 0.602 17 1 1 4 2 2 1 1 1.373 0.640 0.595 5.49 1.28 1.19 0 C04_20170707
C04_20170707_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_041640_041700 0.52 0.520 1 1 1.15 0.575 2 1 1.67 0.557 3 0 1 1 0 1 0 0 1.330 0.000 0.770 1.33 0.00 0.77 0 C04_20170707
C04_20170707_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C04_20170707_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C04_20170707
C09_20170708_002040_002100 0.00 0.000 0 0 0.00 0.000 0 0 0.93 0.930 1 0 0 2 1 1 1 0 0.645 0.610 0.680 1.29 0.61 0.68 0 C09_20170708
C09_20170708_005640_005700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_009240_009300 2.55 0.637 4 2 3.22 0.537 6 5 7.45 0.573 13 0 1 4 4 1 2 0 2.137 0.733 2.370 8.55 2.93 2.37 0 C09_20170708
C09_20170708_012840_012900 13.35 0.636 21 12 1.77 0.590 3 1 15.65 0.626 25 4 6 7 8 0 4 0 0.997 0.690 0.000 6.98 5.52 0.00 2 C09_20170708
C09_20170708_016440_016500 3.94 0.788 5 1 0.00 0.000 0 0 4.37 0.728 6 0 1 6 5 2 4 0 0.900 0.536 0.635 5.40 2.68 1.27 0 C09_20170708
C09_20170708_020040_020100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_023640_023700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_027240_027300 3.85 0.642 6 3 2.62 0.524 5 5 8.72 0.581 15 3 0 5 2 3 2 0 0.864 0.190 0.937 4.32 0.38 2.81 2 C09_20170708
C09_20170708_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_034440_034500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C09_20170708_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C09_20170708
C10_20170709_002040_002100 6.09 0.554 11 9 8.93 0.638 14 8 15.70 0.604 26 0 0 11 5 6 1 2 0.955 0.674 0.880 10.50 3.37 5.28 3 C10_20170709
C10_20170709_005640_005700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_009240_009300 3.42 0.570 6 5 0.50 0.500 1 1 4.42 0.552 8 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_012840_012900 1.23 0.615 2 1 0.00 0.000 0 0 1.23 0.615 2 2 2 3 3 0 1 0 0.667 0.607 0.000 2.00 1.82 0.00 2 C10_20170709
C10_20170709_016440_016500 10.81 0.601 18 13 0.50 0.500 1 1 12.81 0.582 22 0 0 4 1 3 0 0 0.748 0.810 0.727 2.99 0.81 2.18 0 C10_20170709
C10_20170709_020040_020100 18.99 0.593 32 23 0.75 0.750 1 0 20.79 0.594 35 0 0 14 16 2 8 0 1.171 0.702 0.680 16.39 11.23 1.36 0 C10_20170709
C10_20170709_023640_023700 3.57 0.714 5 2 0.00 0.000 0 0 4.15 0.692 6 1 2 8 9 0 2 0 0.895 0.816 0.000 7.16 7.34 0.00 5 C10_20170709
C10_20170709_027240_027300 6.90 0.627 11 6 0.00 0.000 0 0 7.63 0.636 12 0 0 7 5 2 3 0 0.809 0.874 0.465 5.66 4.37 0.93 1 C10_20170709
C10_20170709_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 1 0 1 0 0 0.600 0.000 0.440 0.60 0.00 0.44 0 C10_20170709
C10_20170709_034440_034500 5.88 0.588 10 6 2.90 0.580 5 4 9.28 0.580 16 0 0 13 7 7 2 1 1.096 0.867 0.770 14.25 6.07 5.39 0 C10_20170709
C10_20170709_038040_038100 17.36 0.526 33 31 27.26 0.514 53 51 51.17 0.522 98 0 0 17 5 14 2 1 2.518 0.960 2.543 42.81 4.80 35.60 2 C10_20170709
C10_20170709_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C10_20170709_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C10_20170709
C11_20170709_002040_002100 8.37 0.644 13 8 1.00 0.500 2 2 10.19 0.637 16 0 0 8 8 1 5 0 0.929 0.713 1.290 7.43 5.70 1.29 4 C11_20170709
C11_20170709_005640_005700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170709_009240_009300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170709_012840_012900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170709_016440_016500 7.71 0.642 12 6 0.00 0.000 0 0 8.21 0.632 13 0 0 9 5 5 1 0 0.881 0.860 0.696 7.93 4.30 3.48 4 C11_20170709
C11_20170709_020040_020100 11.54 0.577 20 14 0.00 0.000 0 0 14.29 0.572 25 0 0 4 5 0 4 0 0.687 0.482 0.000 2.75 2.41 0.00 2 C11_20170709
C11_20170709_023640_023700 5.66 0.566 10 7 0.80 0.800 1 0 8.58 0.572 15 5 9 4 4 0 1 0 0.785 0.715 0.000 3.14 2.86 0.00 2 C11_20170709
C11_20170709_027240_027300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 1 8 10 0 8 0 0.775 0.395 0.000 6.20 3.95 0.00 4 C11_20170709
C11_20170709_030840_030900 18.18 0.586 31 24 0.50 0.500 1 1 27.50 0.573 48 0 0 3 3 0 0 0 1.033 1.033 0.000 3.10 3.10 0.00 1 C11_20170709
C11_20170709_034440_034500 6.33 0.575 11 7 11.52 0.524 22 20 18.35 0.540 34 0 0 16 3 16 1 3 1.446 0.813 1.356 23.14 2.44 21.69 0 C11_20170709
C11_20170709_038040_038100 8.17 0.584 14 9 0.00 0.000 0 0 9.23 0.577 16 0 0 4 4 0 0 0 1.205 1.180 0.000 4.82 4.72 0.00 1 C11_20170709
C11_20170709_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 5 0 5 0 0 0.816 0.000 0.816 4.08 0.00 4.08 0 C11_20170709
C11_20170709_045240_045300 0.00 0.000 0 0 1.67 0.557 3 2 1.67 0.557 3 0 0 1 0 1 0 0 0.810 0.000 0.810 0.81 0.00 0.81 0 C11_20170709
C11_20170709_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170709_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170709_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170709
C11_20170718_002040_002100 0.00 0.000 0 0 0.00 0.000 0 0 1.14 0.570 2 0 1 4 1 3 1 0 0.770 0.450 0.500 3.08 0.45 1.50 0 C11_20170718
C11_20170718_005640_005700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_009240_009300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_012840_012900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_016440_016500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_020040_020100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_023640_023700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_027240_027300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_034440_034500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C11_20170718
C11_20170718_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 1 0 1 0 0 0.270 0.000 0.220 0.27 0.00 0.22 0 C11_20170718
C11_20170718_052440_052500 16.31 0.604 27 17 1.65 0.550 3 2 18.96 0.593 32 10 10 12 17 1 11 1 1.397 0.686 0.260 16.76 11.67 0.26 3 C11_20170718
C11_20170718_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 4 2 3 1 1 0.815 0.360 0.290 3.26 0.72 0.87 1 C11_20170718
C12_20170709_002040_002100 0.00 0.000 0 0 0.00 0.000 0 0 0.57 0.570 1 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C12_20170709
C12_20170709_005640_005700 27.78 0.567 49 37 0.50 0.500 1 1 30.83 0.561 55 3 4 10 11 0 2 0 1.219 0.910 0.000 12.19 10.01 0.00 2 C12_20170709
C12_20170709_009240_009300 8.91 0.557 16 13 0.00 0.000 0 0 10.41 0.548 19 0 0 2 3 0 2 0 1.090 0.607 0.000 2.18 1.82 0.00 0 C12_20170709
C12_20170709_012840_012900 20.18 0.561 36 28 0.00 0.000 0 0 20.18 0.561 36 7 8 10 12 0 3 0 1.830 1.384 0.000 18.30 16.61 0.00 2 C12_20170709
C12_20170709_016440_016500 1.62 0.540 3 2 0.00 0.000 0 0 2.12 0.530 4 1 1 1 0 1 0 0 0.600 0.000 0.600 0.60 0.00 0.60 0 C12_20170709
C12_20170709_020040_020100 4.18 0.522 8 7 0.46 0.460 1 1 4.64 0.516 9 2 2 3 2 1 2 0 0.683 0.535 0.120 2.05 1.07 0.12 0 C12_20170709
C12_20170709_023640_023700 4.76 0.529 9 8 1.00 0.500 2 2 6.26 0.522 12 1 1 4 3 1 1 1 0.760 0.727 0.600 3.04 2.18 0.60 0 C12_20170709
C12_20170709_027240_027300 31.08 0.555 56 46 0.50 0.500 1 1 31.58 0.554 57 1 1 17 21 2 9 0 1.456 0.865 0.885 24.75 18.16 1.77 1 C12_20170709
C12_20170709_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 3 3 2 2 1 0.947 0.460 0.405 2.84 1.38 0.81 0 C12_20170709
C12_20170709_034440_034500 7.09 0.645 11 7 0.50 0.500 1 1 7.59 0.632 12 4 5 9 7 3 3 0 0.872 0.950 0.367 7.85 6.65 1.10 2 C12_20170709
C12_20170709_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 4 1 4 0 1 0.770 0.680 0.573 3.08 0.68 2.29 0 C12_20170709
C12_20170709_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 3 2 1 1 1 0.703 0.755 0.600 2.11 1.51 0.60 0 C12_20170709
C12_20170709_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C12_20170709
C12_20170709_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C12_20170709
C12_20170709_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C12_20170709
C12_20170709_056040_056100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C12_20170709
C15_20170710_002040_002100 5.08 0.726 7 1 3.55 0.592 6 3 9.63 0.642 15 6 12 5 1 4 1 1 0.628 0.510 0.495 3.14 0.51 1.98 1 C15_20170710
C15_20170710_005640_005700 2.76 0.690 4 2 2.36 0.590 4 3 7.12 0.593 12 4 7 3 1 2 1 0 0.600 0.430 0.455 1.80 0.43 0.91 1 C15_20170710
C15_20170710_009240_009300 1.72 0.573 3 2 6.36 0.530 12 10 12.13 0.551 22 0 0 4 2 3 2 1 0.858 0.095 0.620 3.43 0.19 1.86 0 C15_20170710
C15_20170710_012840_012900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_016440_016500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_020040_020100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 17 7 18 3 5 1.686 0.597 1.052 28.66 4.18 18.94 0 C15_20170710
C15_20170710_023640_023700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 3 0 4 0 3 0.647 0.000 0.263 1.94 0.00 1.05 0 C15_20170710
C15_20170710_027240_027300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 4 2 2 2 1 0.640 0.545 0.340 2.56 1.09 0.68 0 C15_20170710
C15_20170710_030840_030900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 3 2 1 2 0 0.603 0.600 0.610 1.81 1.20 0.61 1 C15_20170710
C15_20170710_034440_034500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 12 8 5 5 0 0.977 0.759 0.742 11.72 6.07 3.71 2 C15_20170710
C15_20170710_038040_038100 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_041640_041700 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_045240_045300 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_048840_048900 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
C15_20170710_052440_052500 0.00 0.000 0 0 0.00 0.000 0 0 0.00 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 C15_20170710
